,pass_inc,pass_td_lng,fum,rush_yd,pass_td,rush_rz_att,pass_yd,pass_fd,pass_cmp_40p,cmp_pct,pass_cmp,off_snp,pass_sack,gs,pass_td_50p,bonus_pass_yd_300,pass_rz_att,rush_att,pass_att,rush_fd,bonus_pass_cmp_25,pass_rtg,pass_td_40p,pass_lng,rush_td,pass_sack_yds,penalty,bonus_pass_yd_400,gp,pass_air_yd,pass_int,rush_lng,calculated_fpts,fum_lost,pass_2pt,bonus_fd_qb,pass_rush_yd
83,154.0,224.0,5.0,102.0,14.0,8.0,2997.0,113.0,7.0,901.85,288.0,762.0,34.0,14.0,0.0,2.0,39.0,47.0,442.0,11.0,2.0,1130.8,3.0,484.0,1.0,231.0,5.0,0.0,14.0,1571.0,11.0,63.0,235.4299973204732,1.0,1.0,124.0,3099.0
84,4.0,9.0,0.0,8.0,1.0,3.0,224.0,10.0,0.0,356.04,21.0,21.0,0.0,0.0,0.0,0.0,3.0,4.0,25.0,1.0,0.0,403.1,0.0,75.0,0.0,0.0,0.0,0.0,4.0,107.0,1.0,4.0,26.243333133061725,0.0,0.0,11.0,232.0
85,71.0,72.0,1.0,175.0,7.0,6.0,1102.0,46.0,1.0,344.66,99.0,324.0,20.0,6.0,0.0,0.0,28.0,36.0,170.0,9.0,1.0,477.6,1.0,188.0,1.0,106.0,1.0,0.0,6.0,559.0,5.0,91.0,89.99666568140188,0.0,0.0,55.0,1277.0
86,116.0,211.0,8.0,438.0,15.0,17.0,2219.0,96.0,4.0,804.34,184.0,776.0,28.0,13.0,1.0,0.0,35.0,85.0,300.0,26.0,0.0,1166.2,2.0,474.0,4.0,195.0,0.0,0.0,13.0,1318.0,9.0,189.0,237.2099980160594,3.0,2.0,122.0,2657.0
87,133.0,86.0,6.0,243.0,12.0,10.0,2608.0,117.0,4.0,722.66,236.0,786.0,24.0,11.0,0.0,1.0,46.0,49.0,369.0,26.0,1.0,1044.9,0.0,421.0,2.0,160.0,0.0,0.0,16.0,1513.0,6.0,128.0,230.76999766826629,4.0,0.0,143.0,2851.0
88,6.0,28.0,0.0,75.0,1.0,3.0,108.0,4.0,0.0,366.67,14.0,90.0,2.0,2.0,0.0,0.0,4.0,20.0,20.0,4.0,0.0,457.1,0.0,69.0,0.0,13.0,0.0,0.0,7.0,29.0,0.0,50.0,28.086666584014893,0.0,0.0,8.0,183.0
89,8.0,16.0,0.0,35.0,1.0,1.0,169.0,5.0,1.0,57.9,11.0,0.0,3.0,1.0,0.0,0.0,5.0,5.0,19.0,3.0,0.0,83.0,0.0,52.0,1.0,11.0,0.0,0.0,1.0,95.0,1.0,10.0,20.59333318223556,0.0,0.0,8.0,204.0
90,5.0,0.0,1.0,54.0,0.0,0.0,90.0,5.0,0.0,66.67,10.0,31.0,0.0,1.0,0.0,0.0,1.0,9.0,15.0,1.0,0.0,82.6,0.0,30.0,0.0,0.0,0.0,0.0,2.0,73.0,0.0,14.0,11.94999991953373,0.0,0.0,6.0,144.0
91,211.0,418.0,13.0,776.0,35.0,25.0,4316.0,179.0,12.0,1057.36,362.0,1002.0,33.0,16.0,3.0,4.0,84.0,126.0,573.0,48.0,6.0,1593.2,6.0,654.0,7.0,162.0,1.0,2.0,17.0,2698.0,14.0,306.0,530.3733294745286,5.0,1.0,227.0,5092.0
92,30.0,71.0,3.0,84.0,4.0,2.0,656.0,28.0,2.0,190.3,53.0,156.0,7.0,2.0,1.0,1.0,17.0,14.0,83.0,7.0,0.0,260.5,1.0,102.0,0.0,47.0,1.0,0.0,5.0,376.0,3.0,21.0,56.08999941349029,1.0,0.0,35.0,740.0
93,72.0,54.0,2.0,9.0,3.0,3.0,1192.0,53.0,3.0,244.32,103.0,285.0,9.0,4.0,1.0,2.0,24.0,6.0,175.0,2.0,2.0,335.1,1.0,169.0,1.0,76.0,0.0,0.0,5.0,638.0,4.0,7.0,58.029998934268946,1.0,0.0,55.0,1201.0
94,32.0,92.0,4.0,3.0,3.0,2.0,663.0,27.0,2.0,216.25,44.0,151.0,6.0,2.0,1.0,1.0,6.0,7.0,76.0,0.0,0.0,325.3,1.0,160.0,1.0,28.0,0.0,0.0,5.0,412.0,3.0,1.0,32.46999940723181,1.0,0.0,27.0,666.0
95,30.0,0.0,3.0,123.0,0.0,3.0,276.0,11.0,1.0,302.12,31.0,211.0,10.0,3.0,0.0,0.0,4.0,27.0,61.0,7.0,0.0,304.3,0.0,102.0,1.0,49.0,0.0,0.0,8.0,129.0,3.0,57.0,5.23999975323677,2.0,0.0,18.0,399.0
96,104.0,174.0,6.0,86.0,11.0,5.0,1755.0,74.0,4.0,501.21,172.0,510.0,26.0,7.0,1.0,3.0,25.0,22.0,276.0,3.0,5.0,646.2,2.0,302.0,1.0,159.0,3.0,0.0,8.0,929.0,9.0,58.0,127.43333176424107,1.0,2.0,77.0,1841.0
97,11.0,4.0,0.0,8.0,1.0,0.0,184.0,6.0,0.0,156.0,15.0,60.0,2.0,1.0,0.0,0.0,4.0,4.0,26.0,1.0,0.0,162.8,0.0,38.0,0.0,14.0,0.0,0.0,2.0,68.0,1.0,6.0,11.143333168824514,0.0,0.0,7.0,192.0
98,20.0,81.0,1.0,5.0,2.0,0.0,402.0,16.0,1.0,137.78,38.0,74.0,5.0,2.0,1.0,0.0,4.0,4.0,58.0,0.0,0.0,170.8,1.0,103.0,0.0,24.0,0.0,0.0,2.0,180.0,2.0,4.0,23.91333297391732,1.0,0.0,16.0,407.0
99,38.0,0.0,2.0,61.0,0.0,1.0,412.0,17.0,1.0,276.67,45.0,131.0,3.0,1.0,0.0,0.0,2.0,15.0,83.0,3.0,0.0,210.1,0.0,122.0,0.0,27.0,1.0,0.0,6.0,205.0,5.0,41.0,-1.9533337016900418,2.0,0.0,20.0,473.0
100,32.0,31.0,4.0,13.0,2.0,0.0,416.0,17.0,0.0,117.95,46.0,126.0,5.0,2.0,0.0,0.0,9.0,6.0,78.0,2.0,1.0,121.3,0.0,78.0,0.0,41.0,0.0,0.0,2.0,178.0,4.0,6.0,10.506666294733684,1.0,0.0,19.0,429.0
101,30.0,13.0,0.0,27.0,4.0,1.0,683.0,28.0,2.0,191.68,49.0,141.0,7.0,2.0,0.0,1.0,8.0,3.0,79.0,2.0,0.0,342.8,0.0,138.0,0.0,45.0,3.0,0.0,5.0,376.0,4.0,27.0,44.61999938935041,0.0,0.0,30.0,710.0
102,42.0,3.0,3.0,64.0,2.0,5.0,708.0,35.0,1.0,253.08,73.0,207.0,9.0,4.0,0.0,0.0,17.0,16.0,115.0,4.0,0.0,342.8,0.0,105.0,0.0,33.0,2.0,0.0,4.0,377.0,0.0,36.0,48.33666603366534,2.0,0.0,39.0,772.0
103,17.0,0.0,0.0,8.0,0.0,1.0,224.0,9.0,1.0,120.16,25.0,83.0,8.0,2.0,0.0,0.0,3.0,2.0,42.0,0.0,0.0,79.2,0.0,68.0,0.0,48.0,0.0,0.0,3.0,134.0,4.0,8.0,-8.256666866938271,0.0,0.0,9.0,232.0
